Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Industry,Gas Type,Scale,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Cabo Verde,CV,CPV,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Agriculture,Carbon dioxide,Units,0.0,0.0,0.0,0.0,0.0,2.23e-05,2.19e-05,2.23e-05,2.32e-05,2.46e-05,2.52e-05,2.61e-05,2.67e-05,2.72e-05,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CV,CPV,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Agriculture,Greenhouse gas,Units,0.040470297,0.038103318,0.041145014,0.038059328,0.034293564,0.032957161,0.034383865,0.035240405,0.037964418,0.040770504,0.047226936,0.0464236,0.055194844,0.043506111,0.044043881,0.048674563,0.05691034,0.068329285,0.078908209,0.08401563,0.086655883,0.093264466,0.11910529,0.11953233,0.099839066,0.124721881,0.091532164,0.103574516,0.117906691,0.121606692,0.116575762,0.12011503,0.121139747,0.120943659,0.131242329,0.130980273,0.129605829,0.12874719,0.129738162,0.139368767,0.145685294,0.10556039,0.107434868,0.10889089,0.11069719,0.112694209,0.114156673,0.097902004,0.096989277,0.098164782,0.095827125,0.09408182,,,,,,,,,
Cabo Verde,CV,CPV,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Agriculture,Methane,Units,0.025322799,0.023557076,0.025345905,0.022935876,0.021027266,0.020116118,0.020986491,0.021566302,0.022702154,0.023747331,0.025351823,0.026788174,0.030077691,0.023843797,0.023169895,0.026140939,0.02990524,0.033899156,0.041153484,0.044575397,0.046277276,0.048554354,0.058756486,0.060007149,0.052961181,0.060369207,0.050635337,0.054707209,0.060516636,0.061483092,0.059296871,0.06022324,0.060978643,0.060684333,0.066785776,0.066910333,0.065898732,0.064539933,0.064818281,0.070104786,0.073401151,0.060288695,0.06134487,0.062289331,0.063296341,0.064374263,0.065255753,0.05738944,0.057216173,0.057803708,0.056747056,0.056072086,,,,,,,,,
Cabo Verde,CV,CPV,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Agriculture,Nitrous oxide,Units,0.015147498,0.014546241,0.015799108,0.015123451,0.013266298,0.012818724,0.013375499,0.013651791,0.015239094,0.01699858,0.021849914,0.019609293,0.025090498,0.019635136,0.020873986,0.022533624,0.0270051,0.034430129,0.037754725,0.039440234,0.040378608,0.044710112,0.060348805,0.059525181,0.046877885,0.064352674,0.040896827,0.048867306,0.057390055,0.0601236,0.057278891,0.05989179,0.060161104,0.060259326,0.064456554,0.06406994,0.063707097,0.064207257,0.064919881,0.069263981,0.072284143,0.045271694,0.046089998,0.046601558,0.047400849,0.048319946,0.04890092,0.040512564,0.039773105,0.040361074,0.039080069,0.038009734,,,,,,,,,
Cabo Verde,CV,CPV,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Buildings and other Sectors,Carbon dioxide,Units,0.072381029,0.072381029,0.070196727,0.073365864,0.076814771,0.079458593,0.062839106,0.062010521,0.060194425,0.067288314,0.068154226,0.057782128,0.027558571,0.027815294,0.031520858,0.031277429,0.008189805,0.011551865,0.013453723,0.017557598,0.011309616,0.012914473,0.013626334,0.013264988,0.016689719,0.016291916,0.018802936,0.018840707,0.018188287,0.018084139,0.052915235,0.061338987,0.062610865,0.062739627,0.065372036,0.096656958,0.099112498,0.112941204,0.098146794,0.089943905,0.094685495,0.115044284,0.106451641,0.101395599,0.103336503,0.092589988,0.10496975,0.109365772,0.097190678,0.097725667,0.096520804,0.104268861,,,,,,,,,
Cabo Verde,CV,CPV,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Buildings and other Sectors,Greenhouse gas,Units,0.080167922,0.080369033,0.07844168,0.08172277,0.085273041,0.088174062,0.07164154,0.071043703,0.06921063,0.07628475,0.076619028,0.065959766,0.03573437,0.036053462,0.040057376,0.039931588,0.016655113,0.020278617,0.022305519,0.026761014,0.022415883,0.02444677,0.025785948,0.025835945,0.029598758,0.029977036,0.03273326,0.033106792,0.032858895,0.034120203,0.070110152,0.082270213,0.084020032,0.082690281,0.085487629,0.117690335,0.119983965,0.134298806,0.119097757,0.110820434,0.115525219,0.136353785,0.128357139,0.123384997,0.125903423,0.115283872,0.128255087,0.133309312,0.121064773,0.12199134,0.120760786,0.128669346,,,,,,,,,
Cabo Verde,CV,CPV,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Buildings and other Sectors,Methane,Units,0.006578547,0.006752585,0.006978625,0.007069792,0.007145213,0.007226409,0.007335176,0.007521917,0.007393536,0.007269589,0.006747694,0.006760649,0.006810573,0.006819094,0.006987077,0.007106262,0.007206537,0.007418845,0.007628631,0.007926853,0.009460912,0.00979862,0.010339566,0.010716325,0.010971372,0.011654671,0.011858041,0.012169421,0.012577152,0.013776524,0.014484963,0.017648437,0.017850004,0.016504216,0.016552983,0.016594364,0.016449539,0.016648384,0.016648262,0.016812122,0.016899487,0.016975844,0.01776357,0.017874156,0.018130574,0.018218007,0.01865941,0.018988772,0.019142876,0.019460749,0.01945714,0.019478209,,,,,,,,,
Cabo Verde,CV,CPV,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Buildings and other Sectors,Nitrous oxide,Units,0.001208347,0.001235419,0.001266328,0.001287114,0.001313057,0.00148906,0.001467259,0.001511265,0.001622669,0.001726846,0.001717108,0.001416989,0.001365226,0.001419075,0.00154944,0.001547897,0.001258771,0.001307908,0.001223165,0.001276564,0.001645355,0.001733677,0.001820049,0.001854632,0.001937667,0.002030449,0.002072283,0.002096664,0.002093456,0.00225954,0.002709954,0.003282789,0.003559164,0.003446438,0.00356261,0.004439012,0.004421928,0.004709218,0.004302701,0.004064407,0.003940237,0.004333658,0.004141929,0.004115242,0.004436346,0.004475878,0.004625927,0.004954769,0.004731219,0.004804924,0.004782841,0.004922276,,,,,,,,,
Cabo Verde,CV,CPV,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Domestic Aviation,Carbon dioxide,Units,0.017672445,0.017672445,0.017332658,0.018665914,0.019443426,0.021126927,0.019165553,0.02159984,0.020058761,0.022791836,0.023769037,0.023033661,0.0094261,0.010017607,0.012466506,0.011111736,0.003761475,0.004296408,0.005378058,0.007855369,0.007532088,0.009005289,0.009393595,0.009258823,0.011112087,0.011644038,0.014468474,0.015127736,0.01487076,0.015270696,0.042003057,0.044529756,0.045308634,0.044500606,0.04980577,0.074124956,0.071439164,0.081508879,0.079066512,0.076171066,0.081688166,0.010214326,0.008421812,0.007441463,0.007637584,0.006717317,0.00679329,0.006602205,0.006525797,0.006577199,0.004033888,0.004454357,,,,,,,,,
Cabo Verde,CV,CPV,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Domestic Aviation,Greenhouse gas,Units,0.017823386,0.017823386,0.017480594,0.018825172,0.019609225,0.021307029,0.019328963,0.021784155,0.02022996,0.022986283,0.023971838,0.023230239,0.009506592,0.010103159,0.012572949,0.011206624,0.003793591,0.004333088,0.005423989,0.007922665,0.007596332,0.009082089,0.009473692,0.009337767,0.011206815,0.01174328,0.014591779,0.015256646,0.014997477,0.015400825,0.042360986,0.044909187,0.045694712,0.044879778,0.050230116,0.074756497,0.072047848,0.082203335,0.079740177,0.076820008,0.082384031,0.010301466,0.008493657,0.007504975,0.007702747,0.006774638,0.00685127,0.006658543,0.006581479,0.006633313,0.004068303,0.00449236,,,,,,,,,
